cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
2	θ Ant	09 44 12.13	-27 46 10.4	4.78	-0.58	384	A7V+...
2	η Ant	09 58 52.34	-35 53 27.4	5.23	2.66	106	A8IV
2	HD 90132	10 23 29.41	-38 00 35.0	5.34	2.3	132	A8V
2	HD 96146	11 04 54.21	-35 48 16.9	5.43	-0.63	530	A0V
2	HD 82205	09 29 54.52	-26 35 22.6	5.49	-1.36	763	K2IIICNII
2	U Ant	10 35 12.88	-39 33 45.3	5.5	-1.54	836	C6,3(N0)
2	HR 4049	10 18 07.60	-28 59 31.3	5.52	-3.6	2173	B9.5Ib/II
2	δ Ant A	10 29 35.40	-30 36 25.5	5.56	-0.27	481	B9/B9.5V
2	HD 93905	10 49 57.05	-34 03 29.5	5.61	0.48	346	A1V
2	HD 83380	09 37 09.87	-32 10 43.0	5.62	1.05	267	K1III
2	HD 92845	10 42 43.21	-32 42 56.4	5.63	-0.71	605	A0V
2	HD 83332	09 37 00.25	-25 17 48.7	5.68	0.91	293	K0III
2	ζ1 Ant B	09 30 46.08	-31 53 21.0	5.75	0.46	372	A0
2	HD 86267	09 56 35.47	-33 25 06.8	5.83	-0.01	479	K1III
2	HD 82514	09 31 32.93	-35 42 51.6	5.86	1.15	285	K3III
2	ζ2 Ant	09 31 32.19	-31 52 18.6	5.91	0.61	374	A9IV
2	HD 88809	10 13 45.98	-40 20 45.9	5.91	0.21	450	K1III
2	HD 85206	09 49 28.15	-37 11 12.4	5.95	0.47	407	K2III
2	HD 83441	09 37 28.42	-36 05 45.6	5.96	0.89	337	K2III
2	HD 88218	10 09 32.09	-35 51 24.5	6.14	3.7	100	G1V
2	HD 82165	09 29 16.25	-38 24 12.8	6.15	2.18	203	A6V
2	HD 89015	10 15 20.89	-36 31 03.8	6.17	0.91	367	K0III
2	ζ1 Ant A	09 30 46.10	-31 53 22.0	6.18	9999	9999	9999
2	HD 90071	10 23 13.14	-30 09 44.0	6.25	2.6	175	A9IV
2	HD 87606	10 05 15.28	-36 23 03.7	6.27	0.71	422	K1III
2	HD 85725	09 52 58.21	-27 19 56.7	6.28	2.5	186	G1V
2	HD 88522	10 12 02.88	-28 36 21.4	6.28	0.31	509	A0V
2	HD 89442	10 18 37.88	-36 48 16.5	6.31	-0.04	608	K2/K3III
2	BF Ant	09 56 54.14	-27 28 30.8	6.32	0.38	502	A4V
2	HD 88836	10 13 56.58	-40 18 38.7	6.33	0.64	448	G8III
2	HD 88013	10 08 01.67	-37 20 00.5	6.34	0.05	590	K0III
2	HD 85296	09 49 51.36	-36 16 06.5	6.36	0.2	555	K0III
2	HD 92589	10 40 51.56	-35 44 30.2	6.36	-0.28	695	G8/K0III+..
2	HD 88742	10 13 24.99	-33 01 54.8	6.38	4.6	74	G0V
2	HD 84224	09 42 41.37	-35 30 06.2	6.39	-1.8	1417	Asp...
2	HD 87477	10 04 23.39	-39 58 33.1	6.42	-0.03	637	K1III
2	S Ant	09 32 18.45	-28 37 40.4	6.43	2.05	245	A9V
2	HD 82785	09 33 07.71	-39 07 45.0	6.43	2.12	237	F2IV/V
2	HD 84567	09 45 22.01	-30 12 09.9	6.45	9999	3500	B0.5IIIn
2	HD 83108	09 35 11.88	-35 49 25.5	6.48	2.47	207	F5V
2	HD 93083	10 44 20.91	-33 34 37.2	8.33	6.03	94	K2V
2	T Ant	09 33 50.86	-36 36 56.7	9.26	9999	3200	G5
2	δ Ant B	10 29 34.77	-30 36 33.1	9.65	9999	481	F9Ve
2	TWA 6	10 18 28.70	-31 50 02.9	10.65	9999	9999	M0Ve
2	WASP-66	10 32 54.0	-34 59 23	11.6	9999	1239	F4
2	TWA 7	10 42 30.06	-33 40 16.6	11.73	9999	9999	M2Ve
2	UX Ant	10 57 09.0	-37 23 56	12.37	9999	9999	9999
2	DEN 1048-3956	10 48 15	-39 56 06	17.53	9999	13.051	M9V
2	XTE J0929-314	09 29 20.19	-31 29 03.2	18.63	9999	9999	9999
3	α Aps	14 47 51.73	-79 02 41.0	3.83	-1.67	411	K5III
3	γ Aps	16 33 27.46	-78 53 49.1	3.86	0.41	159	K0IV SB
3	β Aps	16 43 05.42	-77 30 59.7	4.23	0.81	158	K0III
3	δ1 Aps	16 20 20.84	-78 41 44.4	4.68	-2.17	765	M4-M5III
3	ζ Aps	17 21 59.53	-67 46 14.3	4.76	-0.14	312	K1III
3	η Aps	14 18 13.97	-81 00 27.4	4.89	1.73	140	A2m...
3	ε Aps	14 22 23.20	-80 06 32.1	5.06	-1.08	551	B4V
3	δ2 Aps	16 20 26.86	-78 40 02.7	5.27	-1.27	663	K3III
3	R Aps	14 57 53.16	-76 39 45.4	5.37	-0.22	428	K4III
3	ι Aps	17 22 05.88	-70 07 23.4	5.39	-2.34	1144	B8/B9Vn...
3	κ1 Aps	15 31 30.82	-73 23 22.4	5.52	9999	1200	B1npe
3	HR 6135	16 34 19.37	-70 59 17.0	5.5	-1.8	942	K1IIICN...
3	HD 130458	14 53 13.54	-73 11 24.6	5.59	0.63	320	G5III
3	κ2 Aps	15 40 21.36	-73 26 47.9	5.64	-1.12	734	B8IVe
3	θ Aps	14 05 20.10	-76 47 48.0	5.69	0.67	328	M6.5III
3	HR 5955	16 05 55.88	-72 24 03.9	5.7	0.97	288	K1IIICNII
3	NO Aps	17 31 27.47	-80 51 32.5	5.83	-1.15	811	M3III
3	HD 164712	18 11 15.76	-75 53 26.9	5.86	1.41	253	K3III
3	HD 165259	18 12 34.17	-73 40 18.4	5.86	2.8	133	F5V
3	HD 131425	15 00 11.34	-77 09 37.9	5.92	-1.23	876	G8II
3	HD 138867	15 41 54.70	-76 04 54.7	5.95	0.64	377	B9V
3	HD 122862	14 08 27.71	-74 51 02.6	6.02	3.73	93	G1V
3	HD 133981	15 12 34.01	-72 46 14.0	6.02	-1.06	849	B8/B9III
3	HD 126209	14 29 37.07	-76 43 44.5	6.06	0.04	522	K0/K1III
3	HD 161988	17 57 41.68	-76 10 40.6	6.08	-0.23	595	K2III
3	HD 121439	14 00 32.85	-78 35 23.9	6.09	-0.65	728	B9III
3	HD 138289	15 39 18.62	-77 55 03.7	6.19	1.1	339	K2II
3	HD 131551	14 59 55.77	-75 01 57.4	6.2	0.15	529	B9V
3	HD 154556	17 12 19.85	-70 43 15.2	6.21	1.99	228	K1IVCN...
3	HD 154972	17 16 35.70	-74 31 58.4	6.24	1.25	324	A0V
